"JobID","CustID","พน.ขาย","วันที่ติดตั้ง","เวลานัด","ประเภทลูกค้า","รุ่นรถยนต์","ทะเบียนรถ","ป้าย","ยี่ห้อฟิล์ม","ตำแหน่งติดตั้ง","มูลค่าสินค้า","ส่วนลด","รหัสส่วนลด","ยอดขาย","การรับประกัน","Pro_ID","WA_ID","หมายเหตุ","Status","Colorstatus","รูปภาพ_01","รูปภาพ_02","รูปภาพ_03","วันที่ลงรายการ","พนง.ขาย","การติดตั้ง","โปรโมชั่น","Warranty","ColorStatus"
"JOB-260518-F05","CUST-260518-3C5","พี่เมย์","1/5/2569","8:30:00","ลูกค้าใหม่","Toyota Fortuner","7ขค 4588","ขาว","Hi-Kool CM","เต็มคัน","5500","0","","5500","ศูนย์","Pro_Apr26","WA-260518-68D","","เสร็จสิ้น","Green","","","","18/5/2569 11:22:57","","","","",""
"JOB-260518-786","CUST-260518-28B","นัท","1/5/2569","8:30:00","ลูกค้าใหม่","Isuzu mu-x","4 กย 9175","ขาว","3M Absolute","เต็มคัน","6800","0","","6800","ศูนย์","Pro_Apr26","WA-260518-C22","","เสร็จสิ้น","Green","","","","18/5/2569 12:13:21","","","","",""
"JOB-260518-CE5","CUST-260518-184","นัท","18/5/2569","10:00:00","ลูกค้าใหม่","Changan Deepal S05","ภ 1318","แดง","3M Ultra Clear","เต็มคัน , ซันรูฟ","13200","0","","13200","ศูนย์","Pro_May26","WA-260518-99A","","เสร็จสิ้น","Green","","","","18/5/2569 12:20:43","","","","",""
"JOB-260518-195","CUST-260518-3C6","นัท","1/5/2569","10:00:00","ลูกค้าใหม่","Benz W212","3 กภ 468","ขาว","Hi-Kool Beyond","เต็มคัน","10000","0","","10000","ศูนย์","Pro_Apr26","WA-260518-BEB","","เสร็จสิ้น","Green","","","","18/5/2569 13:59:48","","","","",""
"JOB-260518-297","CUST-260518-286","นัท","1/5/2569","10:00:00","ลูกค้าใหม่","Honda Civic","9 กร 979","ขาว","3M Absolute","เต็มคัน","5300","0","","5300","ศูนย์","Pro_Apr26","WA-260520-4A0","","เสร็จสิ้น","Green","","","","18/5/2569 15:32:45","","","","",""
"JOB-260518-3D0","CUST-260518-185","พี่เมย์","1/5/2569","10:00:00","ลูกค้าใหม่","Honda Jazz","กม 214","ขาว","IZY-KOOL ORIGINAL","เต็มคัน","2600","0","","2600","ร้าน","Pro_Apr26","WA-260520-1F5","","เสร็จสิ้น","Green","","","","18/5/2569 15:34:59","","","","",""
"JOB-260518-ED4","CUST-260518-768","นัท","1/5/2569","13:00:00","ลูกค้าใหม่","Honda HRV","7กญ 9687","ขาว","3M Absolute","เต็มคัน","5600","0","","5600","ศูนย์","Pro_Apr26","WA-260529-F80","","เสร็จสิ้น","Green","","","","18/5/2569 15:36:49","","","","",""
"JOB-260518-F77","CUST-260518-3C7","พี่เมย์","1/5/2569","13:00:00","ลูกค้าใหม่","Honda BR-V","7ขท 2438","ขาว","G-TEC","เต็มคัน","4000","0","","4000","ร้าน","Pro_Apr26","WA-260529-D78","","เสร็จสิ้น","Green","","","","18/5/2569 15:38:21","","","","",""
"JOB-260518-67E","CUST-260518-288","พี่เมย์","1/5/2569","13:00:00","ลูกค้าใหม่","Toyota Altis","กท 3377","ขาว","G-TEC","เต็มคัน","3200","0","","3200","ร้าน","Pro_Apr26","WA-260529-65C","","เสร็จสิ้น","Green","","","","18/5/2569 15:39:37","","","","",""
"JOB-260518-91B","CUST-260518-186","พี่เมย์","1/5/2569","15:00:00","ลูกค้าใหม่","Toyota Vios","กว 6414","ขาว","G-TEC","เต็มคัน","3000","0","","3000","ร้าน","Pro_Apr26","WA-260529-61F","","เสร็จสิ้น","Green","","","","18/5/2569 15:40:22","","","","",""
"JOB-260518-71A","CUST-260518-769","พี่เมย์","1/5/2569","15:00:00","ลูกค้าเคลม","Mazda 2","6 กฉ 5591","ขาว","3M Ultra Clear","บานหน้า","4400","","","4400","ศูนย์","Mistake","WA-260519-3A7","","เสร็จสิ้น","Green","","","","18/5/2569 15:41:14","","","","",""
"JOB-260518-159","CUST-260518-28B","นัท","1/5/2569","15:00:00","งานแก้(ในวัน)","Isuzu mu-x","4 กย 9175","ขาว","3M Absolute","บานหน้า","3100","","","3100","ศูนย์","Mistake","WA-260518-C22","","เสร็จสิ้น","Green","","","","18/5/2569 15:43:14","","","","",""
"JOB-260518-AA6","CUST-260518-4CF","นัท","18/5/2569","13:00:00","ลูกค้าใหม่","Changan Deepal S07","4 กษ 8889","ขาว","3M Absolute","บานหน้า","2700","0","","2700","ร้าน","Pro_May26","WA-260518-68B","","เสร็จสิ้น","Green","","","","18/5/2569 15:49:36","","","","",""
"JOB-260518-D47","CUST-260518-522","นัท","18/5/2569","13:00:00","ลูกค้าใหม่","Benz CLK W209","ชง 1117","กราฟฟิก","G-TEC","เต็มคัน","3600","450","ส่วนลดลูกค้าเก่า","3150","ร้าน","Pro_May26","WA-260518-6FA","","เสร็จสิ้น","Green","","","","18/5/2569 15:50:31","","","","",""
"JOB-260518-518","CUST-260518-C0E","นัท","31/5/2569","10:00:00","ลูกค้าเคลม","Toyota Altis","2 กฌ 8459","ขาว","Hi-Kool CM","บานหน้า","1900","","","1900","ศูนย์","Mistake","WA-260518-249","บานหน้า50","ยกเลิก","Red","","","","18/5/2569 16:37:42","","","","",""
"JOB-260518-42E","CUST-260518-5B5","พี่เมย์","19/5/2569","10:00:00","ลูกค้าใหม่","Honda Civic","5กณ 4275","ขาว","Hi-Kool Beyond","เต็มคัน","8700","0","","8700","ศูนย์","Pro_May26","WA-260519-FA4","","เสร็จสิ้น","Green","","","","18/5/2569 16:56:21","","","","",""
"JOB-260519-956","CUST-260519-522","นัท","19/5/2569","10:00:00","ลูกค้าใหม่","Honda City","7 กร 8252","ขาว","3M Absolute","เต็มคัน","6800","","","6800","ศูนย์","Pro_May26","WA-260519-2CE","","เสร็จสิ้น","Green","","","","19/5/2569 14:00:20","","","","",""
"JOB-260519-2BD","CUST-260519-6EC","นัท","19/5/2569","13:00:00","ลูกค้าใหม่","Subaru XV","9 กท 9855","ขาว","3M Absolute","บานหน้า","2700","","","2700","ร้าน","Pro_May26","WA-260519-65A","","เสร็จสิ้น","Green","","","","19/5/2569 14:05:19","","","","",""
"JOB-260519-539","CUST-260519-1B4","นัท","20/5/2569","8:00:00","ลูกค้าใหม่","GAC M8 PHEV","1 ขภ 1155","ขาว","3M Ultra Clear","ประตูหลัง-ซ้าย , ประตูหลัง-ขวา","3800","","","3800","ร้าน","Pro_May26","WA-260520-843","","เสร็จสิ้น","Green","","","","19/5/2569 15:05:31","","","","",""
