"MIS_ID","JobID","ตำแหน่งติดตั้ง","รุ่นฟิล์ม","กว้าง","ยาว","จำนวน","ทีมช่าง","เหตุผลขอตัดฟิล์ม","หมายเหตุ","วันที่ลงรายการ"
"MIS_260601-5D7","JOB-260529-4CF","บานหน้า","Nanotech NCI - NCI20","32","60","1","วัล , นา","🆕 ลูกค้าใหม่","","1/6/2569 15:05:09"
"MIS_260601-518","JOB-260529-4CF","บานหลัง","Nanotech NCI - NCI05","26","50","1","ต้น","🆕 ลูกค้าใหม่","","1/6/2569 15:05:09"
"MIS_260601-979","JOB-260529-4CF","ประตูหน้า-ซ้าย","Nanotech NCI - NCI05","34","50","1","เอ","🆕 ลูกค้าใหม่","","1/6/2569 15:05:09"
"MIS_260601-7AB","JOB-260529-4CF","ประตูหน้า-ขวา","Nanotech NCI - NCI05","","","","พลอย","🆕 ลูกค้าใหม่","","1/6/2569 15:05:09"
"MIS_260601-63B","JOB-260529-4CF","ประตูหลัง-ซ้าย","Nanotech NCI - NCI05","18","60","1","สดใส","🆕 ลูกค้าใหม่","","1/6/2569 15:05:09"
"MIS_260601-A31","JOB-260529-4CF","ประตูหลัง-ขวา","Nanotech NCI - NCI05","","","","นัท","🆕 ลูกค้าใหม่","","1/6/2569 15:05:09"
"MIS_260601-9B2","JOB-260529-4CF","บานฟิก-ซ้าย","Nanotech NCI - NCI05","","","","","🆕 ลูกค้าใหม่","","1/6/2569 15:05:09"
"MIS_260601-195","JOB-260529-4CF","บานฟิก-ขวา","Nanotech NCI - NCI05","","","","","🆕 ลูกค้าใหม่","","1/6/2569 15:05:09"
"MIS_260601-326","JOB-260528-F34","บานหน้า","3M Ceramate - G-TEC - CM30","34","60","1","วัล , นา","🆕 ลูกค้าใหม่","","1/6/2569 15:07:20"
"MIS_260601-584","JOB-260529-F35","บานหน้า","G-TEC - CM40","37","60","1","วัล , นา","🆕 ลูกค้าใหม่","","1/6/2569 15:10:51"
"MIS_260601-36E","JOB-260529-F35","บานหลัง","G-TEC - CM40","20","41","1","ต้น","🆕 ลูกค้าใหม่","","1/6/2569 15:10:51"
"MIS_260601-7C7","JOB-260529-F35","ประตูหน้า-ซ้าย","G-TEC - CM40","20","41","1","เอ","🆕 ลูกค้าใหม่","","1/6/2569 15:10:51"
"MIS_260601-06E","JOB-260529-F35","ประตูหน้า-ขวา","G-TEC - CM40","20","41","1","พลอย","🆕 ลูกค้าใหม่","","1/6/2569 15:10:51"
"MIS_260601-301","JOB-260529-F35","ประตูหลัง-ซ้าย","G-TEC - CM40","20","31","1","เอ","🆕 ลูกค้าใหม่","","1/6/2569 15:10:51"
"MIS_260601-6B0","JOB-260529-F35","ประตูหลัง-ขวา","G-TEC - CM40","20","37","1","นัท","🆕 ลูกค้าใหม่","","1/6/2569 15:10:51"
"MIS_260601-AA5","JOB-260529-F35","บานฟิก-ซ้าย","G-TEC - CM40","","","","","🆕 ลูกค้าใหม่","","1/6/2569 15:10:51"
"MIS_260601-B48","JOB-260529-F35","บานฟิก-ขวา","G-TEC - CM40","","","","","🆕 ลูกค้าใหม่","","1/6/2569 15:10:51"
"MIS_260601-F4D","JOB-260529-F35","ซันรูฟ-ช่อง1","G-TEC - CM40","12","50","1","","🆕 ลูกค้าใหม่","","1/6/2569 15:10:51"
"MIS_260601-3C7","JOB-260530-CE3","บานหน้า","Nanotech NCI - NCI20","34","60","1","นา","🆕 ลูกค้าใหม่","","1/6/2569 15:19:12"
"MIS_260601-04D","JOB-260530-CE3","บานหลัง","Nanotech NCI - NCI05","26","45","1","ต้น","🆕 ลูกค้าใหม่","","1/6/2569 15:19:12"
"MIS_260601-24E","JOB-260530-CE3","ประตูหน้า-ซ้าย","Nanotech NCI - NCI05","17","45","1","เอ","🆕 ลูกค้าใหม่","","1/6/2569 15:19:12"
"MIS_260601-1C9","JOB-260530-CE3","ประตูหน้า-ขวา","Nanotech NCI - NCI05","17","45","1","พลอย","🆕 ลูกค้าใหม่","","1/6/2569 15:19:12"
"MIS_260601-E42","JOB-260530-CE3","ประตูหลัง-ซ้าย","Nanotech NCI - NCI05","","","","เอ","🆕 ลูกค้าใหม่","","1/6/2569 15:19:12"
"MIS_260601-C97","JOB-260530-CE3","ประตูหลัง-ขวา","Nanotech NCI - NCI05","","","","พลอย","🆕 ลูกค้าใหม่","","1/6/2569 15:19:12"
"MIS_260601-69C","JOB-260530-CE3","บานฟิก-ซ้าย","Nanotech NCI - NCI05","","","","","🆕 ลูกค้าใหม่","","1/6/2569 15:19:12"
"MIS_260601-1A1","JOB-260530-CE3","บานฟิก-ขวา","Nanotech NCI - NCI05","","","","","🆕 ลูกค้าใหม่","","1/6/2569 15:19:12"
"MIS_260601-8DE","JOB-260526-D9E","บานหน้า","3M Ultra Clear - 3M Crystalline - C40","32","60","1","ต้น , นา","🆕 ลูกค้าใหม่","","1/6/2569 15:36:19"
"MIS_260601-60C","JOB-260526-D9E","ประตูหน้า-ซ้าย","3M Ultra Clear - CM IR35","21","38","1","มาว","🆕 ลูกค้าใหม่","","1/6/2569 15:36:19"
"MIS_260601-233","JOB-260526-D9E","ประตูหน้า-ขวา","3M Ultra Clear - CM IR35","21","38","1","นา","🆕 ลูกค้าใหม่","","1/6/2569 15:36:19"
"MIS_260601-210","JOB-260527-EC7","บานหลัง","3M Ceramate - CRM 5","27","45","1","เอ","🆕 ลูกค้าใหม่","","1/6/2569 15:37:53"
"MIS_260601-DFB","JOB-260527-4E2","บานหลัง","3M Absolute  - AS15","30","48","1","เอ","🆕 ลูกค้าใหม่","","1/6/2569 15:38:25"
"MIS_260601-493","JOB-260528-B9F","บานหน้า","3M Ultra Clear - CM IR25","34","60","1","นัท , วัล","🆕 ลูกค้าใหม่","","1/6/2569 15:44:22"
"MIS_260601-8A8","JOB-260528-B9F","บานหลัง","3M Ultra Clear - CM IR5","20","40","1","สดใส","🆕 ลูกค้าใหม่","","1/6/2569 15:44:22"
"MIS_260601-771","JOB-260528-B9F","ประตูหน้า-ซ้าย","3M Ultra Clear - CM IR25","20","37","1","มาว","🆕 ลูกค้าใหม่","","1/6/2569 15:44:22"
"MIS_260601-E5E","JOB-260528-B9F","ประตูหน้า-ขวา","3M Ultra Clear - CM IR25","20","37","1","พลอย","🆕 ลูกค้าใหม่","","1/6/2569 15:44:22"
